datasetSize;arrayType;sortType;operations
300;Random(0-4000);bubbleSort;495512
300;AlmostSorted;bubbleSort;408004
300;ReversedSorted;bubbleSort;583648
400;Random(0-5);bubbleSort;855086
400;Random(0-4000);bubbleSort;881894
400;AlmostSorted;bubbleSort;727702
400;ReversedSorted;bubbleSort;1038198
500;Random(0-5);bubbleSort;1333124
500;Random(0-4000);bubbleSort;1374412
500;AlmostSorted;bubbleSort;1136600
500;ReversedSorted;bubbleSort;1622748
600;Random(0-5);bubbleSort;1920550
600;Random(0-4000);bubbleSort;1979306
600;AlmostSorted;bubbleSort;1633558
600;ReversedSorted;bubbleSort;2337298
700;Random(0-5);bubbleSort;2616128
700;Random(0-4000);bubbleSort;2696428
700;AlmostSorted;bubbleSort;2220792
700;ReversedSorted;bubbleSort;3181848
800;Random(0-5);bubbleSort;3416294
800;Random(0-4000);bubbleSort;3522446
800;AlmostSorted;bubbleSort;2903210
800;ReversedSorted;bubbleSort;4156398
900;Random(0-5);bubbleSort;4309988
900;Random(0-4000);bubbleSort;4444700
900;AlmostSorted;bubbleSort;3675288
900;ReversedSorted;bubbleSort;5260948
1000;Random(0-5);bubbleSort;5323574
1000;Random(0-4000);bubbleSort;5490990
1000;AlmostSorted;bubbleSort;4531702
1000;ReversedSorted;bubbleSort;6495498
1100;Random(0-5);bubbleSort;6433672
1100;Random(0-4000);bubbleSort;6638960
1100;AlmostSorted;bubbleSort;5476936
1100;ReversedSorted;bubbleSort;7860048
1200;Random(0-5);bubbleSort;7665270
1200;Random(0-4000);bubbleSort;7907402
1200;AlmostSorted;bubbleSort;6513006
1200;ReversedSorted;bubbleSort;9354598
1300;Random(0-5);bubbleSort;8998044
1300;Random(0-4000);bubbleSort;9280796
1300;AlmostSorted;bubbleSort;7639512
1300;ReversedSorted;bubbleSort;10979148
1400;Random(0-5);bubbleSort;10476554
1400;Random(0-4000);bubbleSort;10802654
1400;AlmostSorted;bubbleSort;8857190
1400;ReversedSorted;bubbleSort;12733698
1500;Random(0-5);bubbleSort;12015228
1500;Random(0-4000);bubbleSort;12388636
1500;AlmostSorted;bubbleSort;10164608
1500;ReversedSorted;bubbleSort;14618248
1600;Random(0-5);bubbleSort;13664558
1600;Random(0-4000);bubbleSort;14089190
1600;AlmostSorted;bubbleSort;11565446
1600;ReversedSorted;bubbleSort;16632798
1700;Random(0-5);bubbleSort;15385572
1700;Random(0-4000);bubbleSort;15863792
1700;AlmostSorted;bubbleSort;13057604
1700;ReversedSorted;bubbleSort;18777348
1800;Random(0-5);bubbleSort;17247250
1800;Random(0-4000);bubbleSort;17786578
1800;AlmostSorted;bubbleSort;14635498
1800;ReversedSorted;bubbleSort;21051898
1900;Random(0-5);bubbleSort;19243580
1900;Random(0-4000);bubbleSort;19840724
1900;AlmostSorted;bubbleSort;16306356
1900;ReversedSorted;bubbleSort;23456448
2000;Random(0-5);bubbleSort;21335158
2000;Random(0-4000);bubbleSort;21999446
2000;AlmostSorted;bubbleSort;18071790
2000;ReversedSorted;bubbleSort;25990998
2100;Random(0-5);bubbleSort;23579112
2100;Random(0-4000);bubbleSort;24305736
2100;AlmostSorted;bubbleSort;19917104
2100;ReversedSorted;bubbleSort;28655548
2200;Random(0-5);bubbleSort;25831302
2200;Random(0-4000);bubbleSort;26627302
2200;AlmostSorted;bubbleSort;21853414
2200;ReversedSorted;bubbleSort;31450098
2300;Random(0-5);bubbleSort;28295232
2300;Random(0-4000);bubbleSort;29169728
2300;AlmostSorted;bubbleSort;23880100
2300;ReversedSorted;bubbleSort;34374648
2400;Random(0-5);bubbleSort;30818606
2400;Random(0-4000);bubbleSort;31770298
2400;AlmostSorted;bubbleSort;25998938
2400;ReversedSorted;bubbleSort;37429198
2500;Random(0-5);bubbleSort;33409400
2500;Random(0-4000);bubbleSort;34439888
2500;AlmostSorted;bubbleSort;28208388
2500;ReversedSorted;bubbleSort;40613748
2600;Random(0-5);bubbleSort;36101570
2600;Random(0-4000);bubbleSort;37217658
2600;AlmostSorted;bubbleSort;30508990
2600;ReversedSorted;bubbleSort;43928298
2700;Random(0-5);bubbleSort;38927048
2700;Random(0-4000);bubbleSort;40135432
2700;AlmostSorted;bubbleSort;32903112
2700;ReversedSorted;bubbleSort;47372848
2800;Random(0-5);bubbleSort;41825690
2800;Random(0-4000);bubbleSort;43135434
2800;AlmostSorted;bubbleSort;35383966
2800;ReversedSorted;bubbleSort;50947398
2900;Random(0-5);bubbleSort;44939396
2900;Random(0-4000);bubbleSort;46350056
2900;AlmostSorted;bubbleSort;37953204
2900;ReversedSorted;bubbleSort;54651948
3000;Random(0-5);bubbleSort;48113006
3000;Random(0-4000);bubbleSort;49624878
3000;AlmostSorted;bubbleSort;40611622
3000;ReversedSorted;bubbleSort;58486498
3100;Random(0-5);bubbleSort;51323660
3100;Random(0-4000);bubbleSort;52934180
3100;AlmostSorted;bubbleSort;43356932
3100;ReversedSorted;bubbleSort;62451048
3200;Random(0-5);bubbleSort;54634458
3200;Random(0-4000);bubbleSort;56349726
