datasetSize;arrayType;sortType;time
2900;AlmostSorted;bubbleSort;16919947
2900;ReversedSorted;bubbleSort;51735262
3000;Random(0-5);bubbleSort;46335881
3000;Random(0-4000);bubbleSort;50029652
3000;AlmostSorted;bubbleSort;16614734
3000;ReversedSorted;bubbleSort;52869434
3100;Random(0-5);bubbleSort;49798667
3100;Random(0-4000);bubbleSort;54641732
3100;AlmostSorted;bubbleSort;18128939
3100;ReversedSorted;bubbleSort;57345800
3200;Random(0-5);bubbleSort;53449453
3200;Random(0-4000);bubbleSort;56809962
3200;AlmostSorted;bubbleSort;19292567
3200;ReversedSorted;bubbleSort;61781530
3300;Random(0-5);bubbleSort;56749453
3300;Random(0-4000);bubbleSort;62111011
3300;AlmostSorted;bubbleSort;20700863
3300;ReversedSorted;bubbleSort;64605730
3400;Random(0-5);bubbleSort;59744039
3400;Random(0-4000);bubbleSort;62990698
3400;AlmostSorted;bubbleSort;21426232
3400;ReversedSorted;bubbleSort;68131415
3500;Random(0-5);bubbleSort;63276121
3500;Random(0-4000);bubbleSort;67470974
3500;AlmostSorted;bubbleSort;22985230
3500;ReversedSorted;bubbleSort;72791296
3600;Random(0-5);bubbleSort;66750705
3600;Random(0-4000);bubbleSort;71366949
3600;AlmostSorted;bubbleSort;23931124
3600;ReversedSorted;bubbleSort;74225841
3700;Random(0-5);bubbleSort;70824046
3700;Random(0-4000);bubbleSort;76595929
3700;AlmostSorted;bubbleSort;26562091
3700;ReversedSorted;bubbleSort;82907752
3800;Random(0-5);bubbleSort;76199467
3800;Random(0-4000);bubbleSort;81902646
3800;AlmostSorted;bubbleSort;27120090
3800;ReversedSorted;bubbleSort;89088009
3900;Random(0-5);bubbleSort;80060581
3900;Random(0-4000);bubbleSort;86475829
3900;AlmostSorted;bubbleSort;28871306
3900;ReversedSorted;bubbleSort;87905779
4000;Random(0-5);bubbleSort;83394323
4000;Random(0-4000);bubbleSort;95462377
4000;AlmostSorted;bubbleSort;37639206
4000;ReversedSorted;bubbleSort;97606032
4100;Random(0-5);bubbleSort;89929355
4100;Random(0-4000);bubbleSort;96981969
4100;AlmostSorted;bubbleSort;35988487
4100;ReversedSorted;bubbleSort;101874731
50;Random(0-5);bubbleSortAiverson1;10313
50;Random(0-4000);bubbleSortAiverson1;12265
50;AlmostSorted;bubbleSortAiverson1;1271
50;ReversedSorted;bubbleSortAiverson1;14731
100;Random(0-5);bubbleSortAiverson1;41469
100;Random(0-4000);bubbleSortAiverson1;46516
100;AlmostSorted;bubbleSortAiverson1;14118
100;ReversedSorted;bubbleSortAiverson1;59464
150;Random(0-5);bubbleSortAiverson1;104300
150;Random(0-4000);bubbleSortAiverson1;114882
150;AlmostSorted;bubbleSortAiverson1;22667
150;ReversedSorted;bubbleSortAiverson1;134417
200;Random(0-5);bubbleSortAiverson1;193915
200;Random(0-4000);bubbleSortAiverson1;203150
200;AlmostSorted;bubbleSortAiverson1;30997
200;ReversedSorted;bubbleSortAiverson1;238758
250;Random(0-5);bubbleSortAiverson1;379211
250;Random(0-4000);bubbleSortAiverson1;531405
250;AlmostSorted;bubbleSortAiverson1;71815
250;ReversedSorted;bubbleSortAiverson1;504283
300;Random(0-5);bubbleSortAiverson1;455021
300;Random(0-4000);bubbleSortAiverson1;486942
300;AlmostSorted;bubbleSortAiverson1;49721
300;ReversedSorted;bubbleSortAiverson1;526727
400;Random(0-5);bubbleSortAiverson1;818381
400;Random(0-4000);bubbleSortAiverson1;879841
400;AlmostSorted;bubbleSortAiverson1;280830
400;ReversedSorted;bubbleSortAiverson1;945688
500;Random(0-5);bubbleSortAiverson1;1259534
500;Random(0-4000);bubbleSortAiverson1;1360118
